link_seq_id,link_id,vdf_type,from_node_id,to_node_id,lanes,distance_km,distance_mile,fftt,meso_link_id,meso_link_incoming_volume,tmc,tmc_corridor_name,tmc_corridor_id,tmc_road_order,tmc_road_sequence,subarea_id,link_type,link_type_code,vdf_code,time_period,vehicle_volume,person_volume,ref_volume,ref_diff,restricted_turn_nodes,auto_turn_volume,ODME_volume_before,ODME_volume_after,ODME_volume_diff,ODME_obs_count,ODME_upperbound_capacity_type,ODME_obs_count_dev,preload_volume,travel_time,speed_kmph,speed_mph,speed_ratio,VOC,DOC,lane_capacity,link_capacity,queue,total_simu_waiting_time_in_min,avg_simu_waiting_time_in_min,plf,lanes,D_per_lane,mu_per_lane,QVDF_cd,QVDF_n,P,severe_congestion_duration_in_h,vf_mph,v_congestion_cutoff_mph,vf_kmph,v_congestion_cutoff_kmph,QVDF_cp,QVDF_s,QVDF_v_mph,QVDF_v_kmph,vt2_mph,vt2_kmph,VMT,VKMT,VHT,PMT,PKMT,PHT,PDT_vf,PDT_vc,geometry,vehicle_vol_apv,vehicle_vol_com,vehicle_vol_hov2,vehicle_vol_hov3,vehicle_vol_sov,vehicle_vol_trk,MEU_vol_apv,MEU_vol_com,MEU_vol_hov2,MEU_vol_hov3,MEU_vol_sov,MEU_vol_trk,mode_link_cap_apv,mode_link_cap_com,mode_link_cap_hov2,mode_link_cap_hov3,mode_link_cap_sov,mode_link_cap_trk,mode_DOC_apv,mode_DOC_com,mode_DOC_hov2,mode_DOC_hov3,mode_DOC_sov,mode_DOC_trk,mode_TT_apv,mode_TT_com,mode_TT_hov2,mode_TT_hov3,mode_TT_sov,mode_TT_trk,v06:00,v06:15,v06:30,v06:45,v07:00,v07:15,v07:30,v07:45,v08:00,v08:15,v08:30,v08:45,v09:00,v09:15,v09:30,v09:45,v10:00,v10:15,v10:30,v10:45,v11:00,v11:15,v11:30,v11:45,v12:00,v12:15,v12:30,v12:45,v13:00,v13:15,v13:30,v13:45,v14:00,v14:15,v14:30,v14:45,v15:00,v15:15,v15:30,v15:45,v16:00,v16:15,v16:30,v16:45,v17:00,v17:15,v17:30,v17:45,v18:00,v18:15,v18:30,v18:45,v19:00,v19:15,v19:30,v19:45,DTM_type,DTM_volume_before,DTM_volume_after,DTM_volume_diff,DTM_speed_before,DTM_speed_after,DTM_speed_diff,DTM_DoC_before,DTM_DoC_after,DTM_Doc_diff,DTM_P_before,DTM_P_after,DTM_P_diff,notes
11,11,qvdf,38112,38488,1.000000,2.108235,1.310277,1.511858,-1,0,,network_wide,-1,0,-1,-1,60300,a,60300,1100_1200,7776.030,9530.289,-1.000,0.000,,,0.000,0.000,0.000,,,,0.000,90.000,1.405,0.874,0.017,9.897,9.897,900.000,900.000,0.000,0.000,0.000,1.000,1.000,8907.300,554.961,1.006,1.208,16.050,1.083,52.000,71.118,83.668,114.429,0.199,4.000,0.008,0.012,0.005,0.009,10188.752,16393.702,11664.045,12487.316,12487.316,20092.092,14055.293,14119.848,"LINESTRING (-77.622328 38.955522, -77.624237 38.936613)",18.690,959.370,760.620,392.970,4513.110,1131.270,18.690,959.370,760.620,392.970,4513.110,2262.540,900.000,0.000,0.000,0.000,0.000,0.000,9.897000,0.000000,0.000000,0.000000,0.000000,0.000000,90.000,0.000,0.000,0.000,0.000,0.000,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,0.000,0.000,0.000,0.000,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,,7776.030,7776.030,0.000,1.405,1.405,0.000,9.897,9.897,0.000,16.050,16.050,0.000,period-based
12,12,qvdf,38112,55001,1.000000,1.592522,0.989759,1.484639,-1,0,,network_wide,-1,0,-1,-1,50400,a,50400,1100_1200,3811.728,4964.567,-1.000,0.000,,,0.000,0.000,0.000,,,,0.000,90.000,1.062,0.660,0.016,5.250,5.250,800.000,800.000,0.000,0.000,0.000,1.000,1.000,4200.108,562.909,1.006,1.208,7.461,1.083,40.000,54.706,64.360,88.022,0.199,4.000,0.124,0.199,0.089,0.142,3772.693,6070.262,5717.592,4913.725,4913.725,7906.184,7324.007,7357.030,"LINESTRING (-77.622328 38.955522, -77.611957 38.944155)",8.298,289.590,532.410,246.180,2346.870,388.380,8.298,289.590,532.410,246.180,2346.870,776.760,800.000,0.000,0.000,0.000,0.000,0.000,5.250135,0.000000,0.000000,0.000000,0.000000,0.000000,90.000,0.000,0.000,0.000,0.000,0.000,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,0.000,0.000,0.000,0.000,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,,3811.728,3811.728,0.000,1.062,1.062,0.000,5.250,5.250,0.000,7.461,7.461,0.000,period-based
13,13,qvdf,38488,3723,1.000000,0.547176,0.340072,0.392391,-1,0,,network_wide,-1,0,-1,-1,60300,a,60300,1100_1200,11500.500,14273.553,-1.000,0.000,,,0.000,0.000,0.000,,,,0.000,90.000,0.365,0.227,0.004,9.990,9.990,900.000,900.000,0.000,0.000,0.000,1.000,1.000,13087.050,806.215,1.006,1.208,16.233,1.083,52.000,71.118,83.668,114.429,0.199,4.000,0.007,0.012,0.005,0.008,3910.996,6292.793,17250.750,4854.033,4854.033,7810.139,21316.982,21342.076,"LINESTRING (-77.624237 38.936613, -77.625038 38.931782)",37.380,1398.240,1217.400,613.290,6647.640,1586.550,37.380,1398.240,1217.400,613.290,6647.640,3173.100,900.000,0.000,0.000,0.000,0.000,0.000,9.990000,0.000000,0.000000,0.000000,0.000000,0.000000,90.000,0.000,0.000,0.000,0.000,0.000,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,0.000,0.000,0.000,0.000,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,,11500.500,11500.500,0.000,0.365,0.365,0.000,9.990,9.990,0.000,16.233,16.233,0.000,period-based
14,14,qvdf,38488,38112,1.000000,2.108235,1.310277,1.511858,-1,0,,network_wide,-1,0,-1,-1,60300,a,60300,1100_1200,7257.498,8840.621,-1.000,0.000,,,0.000,0.000,0.000,,,,0.000,90.000,1.405,0.874,0.017,9.332,9.332,900.000,900.000,0.000,0.000,0.000,1.000,1.000,8398.518,561.799,1.006,1.208,14.949,1.083,52.000,71.118,83.668,114.429,0.199,4.000,0.010,0.017,0.007,0.012,9509.331,15300.514,10886.247,11583.661,11583.661,18638.111,13038.169,13098.052,"LINESTRING (-77.624237 38.936613, -77.622328 38.955522)",3.738,958.980,760.380,328.200,4065.180,1141.020,3.738,958.980,760.380,328.200,4065.180,2282.040,900.000,0.000,0.000,0.000,0.000,0.000,9.331687,0.000000,0.000000,0.000000,0.000000,0.000000,90.000,0.000,0.000,0.000,0.000,0.000,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,0.000,0.000,0.000,0.000,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,83.668,,7257.498,7257.498,0.000,1.405,1.405,0.000,9.332,9.332,0.000,14.949,14.949,0.000,period-based
15,15,qvdf,38488,38489,1.000000,1.416219,0.880186,1.320279,-1,0,,network_wide,-1,0,-1,-1,50400,a,50400,1100_1200,5007.222,6395.167,-1.000,0.000,,,0.000,0.000,0.000,,,,0.000,90.000,0.944,0.587,0.015,6.922,6.922,800.000,800.000,0.000,0.000,0.000,1.000,1.000,5537.442,531.426,1.006,1.208,10.420,1.083,40.000,54.706,64.360,88.022,0.199,4.000,0.033,0.053,0.023,0.038,4407.287,7091.324,7510.833,5628.937,5628.937,9056.959,9452.027,9489.856,"LINESTRING (-77.624237 38.936613, -77.607979 38.937693)",33.642,490.830,680.010,275.100,2997.420,530.220,33.642,490.830,680.010,275.100,2997.420,1060.440,800.000,0.000,0.000,0.000,0.000,0.000,6.921803,0.000000,0.000000,0.000000,0.000000,0.000000,90.000,0.000,0.000,0.000,0.000,0.000,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,0.000,0.000,0.000,0.000,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,,5007.222,5007.222,0.000,0.944,0.944,0.000,6.922,6.922,0.000,10.420,10.420,0.000,period-based
16,16,qvdf,38489,2400,7.000000,2.719785,1.690357,2.897755,-1,0,,network_wide,-1,0,-1,-1,50000,c,50000,1100_1200,3677.190,4847.319,-1.000,0.000,,,0.000,0.000,0.000,,,,0.000,2.884,56.592,35.172,1.005,0.179,0.179,3150.000,22050.000,0.000,0.000,0.000,1.000,7.000,562.517,3150.000,1.006,1.208,0.032,0.000,35.000,47.868,56.315,77.019,0.199,4.000,35.172,56.592,47.868,77.019,6215.764,10001.165,176.722,8193.700,8193.700,13183.664,-1.148,61.784,"LINESTRING (-77.607979 38.937693, -77.593115 38.916173)",22.140,196.050,539.370,246.990,2412.210,260.430,22.140,196.050,539.370,246.990,2412.210,520.860,22050.000,0.000,0.000,0.000,0.000,0.000,0.178577,0.000000,0.000000,0.000000,0.000000,0.000000,2.884,0.000,0.000,0.000,0.000,0.000,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,59.880,70.575,73.912,63.445,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,,3677.190,3677.190,0.000,56.592,56.592,0.000,0.179,0.179,0.000,0.032,0.032,0.000,period-based
17,17,qvdf,38489,38488,1.000000,1.416219,0.880186,1.320279,-1,0,,network_wide,-1,0,-1,-1,50400,a,50400,1100_1200,4710.990,6077.199,-1.000,0.000,,,0.000,0.000,0.000,,,,0.000,90.000,0.944,0.587,0.015,6.551,6.551,800.000,800.000,0.000,0.000,0.000,1.000,1.000,5240.820,537.553,1.006,1.208,9.749,1.083,40.000,54.706,64.360,88.022,0.199,4.000,0.043,0.069,0.030,0.049,4146.547,6671.795,7066.485,5349.065,5349.065,8606.646,8982.072,9018.021,"LINESTRING (-77.607979 38.937693, -77.624237 38.936613)",18.690,505.800,614.220,296.310,2746.140,529.830,18.690,505.800,614.220,296.310,2746.140,1059.660,800.000,0.000,0.000,0.000,0.000,0.000,6.551025,0.000000,0.000000,0.000000,0.000000,0.000000,90.000,0.000,0.000,0.000,0.000,0.000,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,0.000,0.000,0.000,0.000,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,,4710.990,4710.990,0.000,0.944,0.944,0.000,6.551,6.551,0.000,9.749,9.749,0.000,period-based
18,18,qvdf,38489,38490,1.000000,0.160934,0.100021,0.150032,-1,0,,network_wide,-1,0,-1,-1,50400,a,50400,1100_1200,7034.562,9019.637,-1.000,0.000,,,0.000,0.000,0.000,,,,0.000,90.000,0.107,0.067,0.002,9.508,9.508,800.000,800.000,0.000,0.000,0.000,1.000,1.000,7606.422,497.434,1.006,1.208,15.291,1.083,40.000,54.706,64.360,88.022,0.199,4.000,0.007,0.012,0.005,0.008,703.605,1132.100,10551.843,902.154,902.154,1451.566,13506.901,13512.964,"LINESTRING (-77.607979 38.937693, -77.606145 38.937861)",55.782,542.670,940.680,404.370,4519.200,571.860,55.782,542.670,940.680,404.370,4519.200,1143.720,800.000,0.000,0.000,0.000,0.000,0.000,9.508028,0.000000,0.000000,0.000000,0.000000,0.000000,90.000,0.000,0.000,0.000,0.000,0.000,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,0.000,0.000,0.000,0.000,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,,7034.562,7034.562,0.000,0.107,0.107,0.000,9.508,9.508,0.000,15.291,15.291,0.000,period-based
19,19,qvdf,38490,3726,1.000000,1.609340,1.000211,1.500317,-1,0,,network_wide,-1,0,-1,-1,50400,a,50400,1100_1200,6231.000,8203.149,-1.000,0.000,,,0.000,0.000,0.000,,,,0.000,90.000,1.073,0.667,0.017,8.396,8.396,800.000,800.000,0.000,0.000,0.000,1.000,1.000,6716.400,510.492,1.006,1.208,13.157,1.083,40.000,54.706,64.360,88.022,0.199,4.000,0.013,0.021,0.009,0.015,6232.317,10027.798,9346.500,8204.883,8204.883,13201.656,12099.602,12154.743,"LINESTRING (-77.606145 38.937861, -77.590441 38.930341)",3.540,358.860,905.550,425.790,4051.860,485.400,3.540,358.860,905.550,425.790,4051.860,970.800,800.000,0.000,0.000,0.000,0.000,0.000,8.395500,0.000000,0.000000,0.000000,0.000000,0.000000,90.000,0.000,0.000,0.000,0.000,0.000,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,0.000,0.000,0.000,0.000,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,,6231.000,6231.000,0.000,1.073,1.073,0.000,8.396,8.396,0.000,13.157,13.157,0.000,period-based
20,20,qvdf,38490,38489,1.000000,0.160934,0.100021,0.150032,-1,0,,network_wide,-1,0,-1,-1,50400,a,50400,1100_1200,6108.270,7969.353,-1.000,0.000,,,0.000,0.000,0.000,,,,0.000,90.000,0.107,0.067,0.002,8.353,8.353,800.000,800.000,0.000,0.000,0.000,1.000,1.000,6682.260,511.033,1.006,1.208,13.076,1.083,40.000,54.706,64.360,88.022,0.199,4.000,0.013,0.022,0.009,0.015,610.956,983.028,9162.405,797.104,797.104,1282.540,11934.102,11939.459,"LINESTRING (-77.606145 38.937861, -77.607979 38.937693)",40.830,558.600,840.210,398.550,3696.090,573.990,40.830,558.600,840.210,398.550,3696.090,1147.980,800.000,0.000,0.000,0.000,0.000,0.000,8.352825,0.000000,0.000000,0.000000,0.000000,0.000000,90.000,0.000,0.000,0.000,0.000,0.000,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,0.000,0.000,0.000,0.000,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,,6108.270,6108.270,0.000,0.107,0.107,0.000,8.353,8.353,0.000,13.076,13.076,0.000,period-based
21,21,qvdf,38490,38491,1.000000,2.478384,1.540325,2.310488,-1,0,,network_wide,-1,0,-1,-1,50400,a,50400,1100_1200,6219.000,8104.914,-1.000,0.000,,,0.000,0.000,0.000,,,,0.000,90.000,1.652,1.027,0.026,8.432,8.432,800.000,800.000,0.000,0.000,0.000,1.000,1.000,6745.380,510.034,1.006,1.208,13.225,1.083,40.000,54.706,64.360,88.022,0.199,4.000,0.013,0.021,0.009,0.014,9579.284,15413.068,9328.500,12484.205,12484.205,20087.086,11845.266,11929.166,"LINESTRING (-77.606145 38.937861, -77.584346 38.947135)",60.540,497.490,914.940,373.860,3845.790,526.380,60.540,497.490,914.940,373.860,3845.790,1052.760,800.000,0.000,0.000,0.000,0.000,0.000,8.431725,0.000000,0.000000,0.000000,0.000000,0.000000,90.000,0.000,0.000,0.000,0.000,0.000,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,0.000,0.000,0.000,0.000,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,,6219.000,6219.000,0.000,1.652,1.652,0.000,8.432,8.432,0.000,13.225,13.225,0.000,period-based
22,22,qvdf,38490,55001,1.000000,0.885459,0.550316,0.825474,-1,0,,network_wide,-1,0,-1,-1,50400,a,50400,1100_1200,2106.270,2762.091,-1.000,0.000,,,0.000,0.000,0.000,,,,0.000,15.994,3.322,2.065,0.052,2.894,2.894,800.000,800.000,0.000,0.000,0.000,1.000,1.000,2315.250,637.229,1.006,1.208,3.633,1.083,40.000,54.706,64.360,88.022,0.199,4.000,2.065,3.322,1.534,2.467,1159.115,1865.015,561.448,1520.024,1520.024,2445.718,698.264,708.479,"LINESTRING (-77.606145 38.937861, -77.611957 38.944155)",18.960,172.980,297.870,138.630,1268.850,208.980,18.960,172.980,297.870,138.630,1268.850,417.960,800.000,0.000,0.000,0.000,0.000,0.000,2.894063,0.000000,0.000000,0.000000,0.000000,0.000000,15.994,0.000,0.000,0.000,0.000,0.000,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,2.751,2.516,2.484,2.646,43.865,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,,2106.270,2106.270,0.000,3.322,3.322,0.000,2.894,2.894,0.000,3.633,3.633,0.000,period-based
23,23,qvdf,38491,2402,7.000000,1.449130,0.900640,1.543955,-1,0,,network_wide,-1,0,-1,-1,50000,c,50000,1100_1200,2361.180,3134.577,-1.000,0.000,,,0.000,0.000,0.000,,,,0.000,1.541,56.427,35.070,1.002,0.114,0.114,3150.000,22050.000,0.000,0.000,0.000,1.000,7.000,357.891,3150.000,1.006,1.208,0.013,0.000,35.000,47.868,56.315,77.019,0.199,4.000,35.070,56.427,47.868,77.019,2126.574,3421.657,60.639,2823.126,2823.126,4542.410,-0.160,21.523,"LINESTRING (-77.584346 38.947135, -77.600503 38.950677)",16.770,128.760,367.860,158.190,1545.540,144.060,16.770,128.760,367.860,158.190,1545.540,288.120,22050.000,0.000,0.000,0.000,0.000,0.000,0.113616,0.000000,0.000000,0.000000,0.000000,0.000000,1.541,0.000,0.000,0.000,0.000,0.000,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,59.811,70.299,73.705,63.307,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,,2361.180,2361.180,0.000,56.427,56.427,0.000,0.114,0.114,0.000,0.013,0.013,0.000,period-based
24,24,qvdf,38491,3724,1.000000,0.820763,0.510108,0.765162,-1,0,,network_wide,-1,0,-1,-1,50400,a,50400,1100_1200,7386.750,9543.036,-1.000,0.000,,,0.000,0.000,0.000,,,,0.000,90.000,0.547,0.340,0.009,9.990,9.990,800.000,800.000,0.000,0.000,0.000,1.000,1.000,7995.870,492.578,1.006,1.208,16.233,1.083,40.000,54.706,64.360,88.022,0.199,4.000,0.006,0.009,0.004,0.006,3768.039,6062.774,11080.125,4867.977,4867.977,7832.575,14192.854,14225.570,"LINESTRING (-77.584346 38.947135, -77.580048 38.953013)",77.310,573.930,1024.050,434.340,4668.000,609.120,77.310,573.930,1024.050,434.340,4668.000,1218.240,800.000,0.000,0.000,0.000,0.000,0.000,9.990000,0.000000,0.000000,0.000000,0.000000,0.000000,90.000,0.000,0.000,0.000,0.000,0.000,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,0.000,0.000,0.000,0.000,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,,7386.750,7386.750,0.000,0.547,0.547,0.000,9.990,9.990,0.000,16.233,16.233,0.000,period-based
25,25,qvdf,38491,38490,1.000000,2.478384,1.540325,2.310488,-1,0,,network_wide,-1,0,-1,-1,50400,a,50400,1100_1200,5307.000,6976.194,-1.000,0.000,,,0.000,0.000,0.000,,,,0.000,90.000,1.652,1.027,0.026,7.267,7.267,800.000,800.000,0.000,0.000,0.000,1.000,1.000,5813.940,526.061,1.006,1.208,11.052,1.083,40.000,54.706,64.360,88.022,0.199,4.000,0.026,0.042,0.018,0.030,8174.507,13152.781,7960.500,10745.609,10745.609,17289.685,10195.651,10267.867,"LINESTRING (-77.584346 38.947135, -77.606145 38.937861)",57.390,490.500,758.010,350.700,3143.460,506.940,57.390,490.500,758.010,350.700,3143.460,1013.880,800.000,0.000,0.000,0.000,0.000,0.000,7.267425,0.000000,0.000000,0.000000,0.000000,0.000000,90.000,0.000,0.000,0.000,0.000,0.000,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,0.000,0.000,0.000,0.000,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,,5307.000,5307.000,0.000,1.652,1.652,0.000,7.267,7.267,0.000,11.052,11.052,0.000,period-based
26,26,qvdf,55001,2402,7.000000,1.256589,0.780975,1.338814,-1,0,,network_wide,-1,0,-1,-1,50000,c,50000,1100_1200,917.970,1196.235,-1.000,0.000,,,0.000,0.000,0.000,,,,0.000,1.338,56.333,35.011,1.000,0.045,0.045,3150.000,22050.000,0.000,0.000,0.000,1.000,7.000,143.044,3150.000,1.006,1.208,0.002,0.000,35.000,47.868,56.315,77.019,0.199,4.000,35.011,56.333,47.868,77.019,716.912,1153.511,20.477,934.230,934.230,1503.175,-0.008,7.167,"LINESTRING (-77.611957 38.944155, -77.600503 38.950677)",0.000,75.510,132.840,58.170,568.110,83.340,0.000,75.510,132.840,58.170,568.110,166.680,22050.000,0.000,0.000,0.000,0.000,0.000,0.045411,0.000000,0.000000,0.000000,0.000000,0.000000,1.338,0.000,0.000,0.000,0.000,0.000,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,59.773,70.147,73.590,63.231,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,56.315,,917.970,917.970,0.000,56.333,56.333,0.000,0.045,0.045,0.000,0.002,0.002,0.000,period-based
27,27,qvdf,55001,38112,1.000000,1.592522,0.989759,1.484639,-1,0,,network_wide,-1,0,-1,-1,50400,a,50400,1100_1200,3019.470,3951.801,-1.000,0.000,,,0.000,0.000,0.000,,,,0.000,90.000,1.062,0.660,0.016,4.135,4.135,800.000,800.000,0.000,0.000,0.000,1.000,1.000,3308.280,591.591,1.006,1.208,5.592,1.083,40.000,54.706,64.360,88.022,0.199,4.000,0.386,0.621,0.280,0.450,2988.548,4808.573,4529.205,3911.331,3911.331,6293.332,5829.918,5856.204,"LINESTRING (-77.611957 38.944155, -77.622328 38.955522)",18.960,245.970,428.880,196.830,1840.020,288.810,18.960,245.970,428.880,196.830,1840.020,577.620,800.000,0.000,0.000,0.000,0.000,0.000,4.135350,0.000000,0.000000,0.000000,0.000000,0.000000,90.000,0.000,0.000,0.000,0.000,0.000,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,0.000,0.000,0.000,0.000,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,,3019.470,3019.470,0.000,1.062,1.062,0.000,4.135,4.135,0.000,5.592,5.592,0.000,period-based
28,28,qvdf,55001,38490,1.000000,0.885459,0.550316,0.825474,-1,0,,network_wide,-1,0,-1,-1,50400,a,50400,1100_1200,2893.758,3768.332,-1.000,0.000,,,0.000,0.000,0.000,,,,0.000,72.946,0.728,0.453,0.011,3.998,3.998,800.000,800.000,0.000,0.000,0.000,1.000,1.000,3198.798,595.751,1.006,1.208,5.369,1.083,40.000,54.706,64.360,88.022,0.199,4.000,0.453,0.728,0.329,0.529,1592.482,2562.304,3518.127,2073.774,2073.774,3336.703,4529.558,4543.495,"LINESTRING (-77.611957 38.944155, -77.606145 38.937861)",8.298,214.080,399.570,188.010,1778.760,305.040,8.298,214.080,399.570,188.010,1778.760,610.080,800.000,0.000,0.000,0.000,0.000,0.000,3.998498,0.000000,0.000000,0.000000,0.000000,0.000000,72.946,0.000,0.000,0.000,0.000,0.000,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,0.000,0.000,0.000,0.000,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,64.360,,2893.758,2893.758,0.000,0.728,0.728,0.000,3.998,3.998,0.000,5.369,5.369,0.000,period-based
