link_id,link_no,layer_no,from_node_id,to_node_id,from_gate_flag,to_gate_flag,link_type,link_type_name,link_type_code,lanes,link_distance_mile,link_distance_km,free_speed_mph,free_speed_kmph,cutoff_speed_mph,cutoff_speed_kmph,fftt_min,capacity, BPR_alpha,BPR_beta,VDF_preload_pm,restricted_turn_nodes_pm,VDF_toll_pm_apv,VDF_toll_pm_com,VDF_toll_pm_hov2,VDF_toll_pm_hov3,VDF_toll_pm_sov,VDF_toll_pm_trk,demand_period_internal_0,allow_uses_pm,QVDF_plf_pm,QVDF_alpha_pm,QVDF_beta_pm,QVDF_cd_pm,QVDF_n_pm,QVDF_s_pm,geometry,
27,26,0,55001,38112,-1,-1,50400,,a,1.000000,0.989759,1.592522,40.000000,64.360000,54.706002,88.021957,1.484639,800.000000,0.150000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,pm,,1.000000,0.182982,4.490264,1.001943,1.181083,4.000000,"LINESTRING (-77.611957 38.944155, -77.622328 38.955522)",
28,27,0,55001,38490,-1,-1,50400,,a,1.000000,0.550316,0.885459,40.000000,64.360000,54.706002,88.021957,0.825474,800.000000,0.150000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,pm,,1.000000,0.182982,4.490264,1.001943,1.181083,4.000000,"LINESTRING (-77.611957 38.944155, -77.606145 38.937861)",
connector,28,0,2400,-2400,-1,-1,-1,,c,20.000000,0.000006,0.000010,62.150404,100.000000,62.150404,100.000000,0.100000,999999.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,pm,,1.000000,0.272877,4.000000,0.954946,1.141574,4.000000,"LINESTRING (-77.593115 38.916173,-77.593115 38.916173)"
connector,29,0,-2400,2400,-1,-1,-1,,c,20.000000,0.000006,0.000010,62.150404,100.000000,62.150404,100.000000,0.100000,999999.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,pm,,1.000000,0.272877,4.000000,0.954946,1.141574,4.000000,"LINESTRING (-77.593115 38.916173,-77.593115 38.916173)"
connector,30,0,2401,-2401,-1,-1,-1,,c,20.000000,0.000006,0.000010,62.150404,100.000000,62.150404,100.000000,0.100000,999999.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,pm,,1.000000,0.272877,4.000000,0.954946,1.141574,4.000000,"LINESTRING (-77.634111 38.951535,-77.634111 38.951535)"
connector,31,0,-2401,2401,-1,-1,-1,,c,20.000000,0.000006,0.000010,62.150404,100.000000,62.150404,100.000000,0.100000,999999.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,pm,,1.000000,0.272877,4.000000,0.954946,1.141574,4.000000,"LINESTRING (-77.634111 38.951535,-77.634111 38.951535)"
connector,32,0,2402,-2402,-1,-1,-1,,c,20.000000,0.000006,0.000010,62.150404,100.000000,62.150404,100.000000,0.100000,999999.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,pm,,1.000000,0.272877,4.000000,0.954946,1.141574,4.000000,"LINESTRING (-77.600503 38.950677,-77.600503 38.950677)"
connector,33,0,-2402,2402,-1,-1,-1,,c,20.000000,0.000006,0.000010,62.150404,100.000000,62.150404,100.000000,0.100000,999999.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,pm,,1.000000,0.272877,4.000000,0.954946,1.141574,4.000000,"LINESTRING (-77.600503 38.950677,-77.600503 38.950677)"
connector,34,0,3723,-3723,-1,-1,-1,,c,20.000000,0.000006,0.000010,62.150404,100.000000,62.150404,100.000000,0.100000,999999.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,pm,,1.000000,0.272877,4.000000,0.954946,1.141574,4.000000,"LINESTRING (-77.625038 38.931782,-77.625038 38.931782)"
connector,35,0,-3723,3723,-1,-1,-1,,c,20.000000,0.000006,0.000010,62.150404,100.000000,62.150404,100.000000,0.100000,999999.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,pm,,1.000000,0.272877,4.000000,0.954946,1.141574,4.000000,"LINESTRING (-77.625038 38.931782,-77.625038 38.931782)"
connector,36,0,3724,-3724,-1,-1,-1,,c,20.000000,0.000006,0.000010,62.150404,100.000000,62.150404,100.000000,0.100000,999999.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,pm,,1.000000,0.272877,4.000000,0.954946,1.141574,4.000000,"LINESTRING (-77.580048 38.953013,-77.580048 38.953013)"
connector,37,0,-3724,3724,-1,-1,-1,,c,20.000000,0.000006,0.000010,62.150404,100.000000,62.150404,100.000000,0.100000,999999.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,pm,,1.000000,0.272877,4.000000,0.954946,1.141574,4.000000,"LINESTRING (-77.580048 38.953013,-77.580048 38.953013)"
connector,38,0,3725,-3725,-1,-1,-1,,c,20.000000,0.000006,0.000010,62.150404,100.000000,62.150404,100.000000,0.100000,999999.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,pm,,1.000000,0.272877,4.000000,0.954946,1.141574,4.000000,"LINESTRING (-77.622657 38.969132,-77.622657 38.969132)"
connector,39,0,-3725,3725,-1,-1,-1,,c,20.000000,0.000006,0.000010,62.150404,100.000000,62.150404,100.000000,0.100000,999999.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,pm,,1.000000,0.272877,4.000000,0.954946,1.141574,4.000000,"LINESTRING (-77.622657 38.969132,-77.622657 38.969132)"
connector,40,0,3726,-3726,-1,-1,-1,,c,20.000000,0.000006,0.000010,62.150404,100.000000,62.150404,100.000000,0.100000,999999.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,pm,,1.000000,0.272877,4.000000,0.954946,1.141574,4.000000,"LINESTRING (-77.590441 38.930341,-77.590441 38.930341)"
connector,41,0,-3726,3726,-1,-1,-1,,c,20.000000,0.000006,0.000010,62.150404,100.000000,62.150404,100.000000,0.100000,999999.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,pm,,1.000000,0.272877,4.000000,0.954946,1.141574,4.000000,"LINESTRING (-77.590441 38.930341,-77.590441 38.930341)"
